1 15 22,22 22,22 0 1
2 15 577,22 577,22 0 3
3 2 315,495 315,495 0 2
4 6 315,800 315,800 0 4
5 10 22,1105 22,1105 0 5
6 10 658,1105 658,1105 0 6
7 4 360,1590 360,1590 0 7
8 4 315,1952 315,1952 0 8
9 4 275,2350 275,2350 0 9
10 2 22,2530 22,2350 0 10
11 2 658,2530 658,2530 0 11
12 5 658,2790 658,2790 0 13
13 3 230,2885 230,2885 0 12
14 3 658,3140 658,3144 0 15
15 7 105,3185 105,3185 0 14
16 2 275,3490 275,3490 0 16
17 3 658,3660 658,3660 0 18
18 4 105,3710 105,3710 0 17
19 2 22,3922 22,3922 0 10
20 2 658,3922 658,3922 0 10
21 3 190,4140 190,4140 0 19
22 3 450,4140 450,4140 0 19
23 2 280,4572 280,4572 0 20
24 5 240,4875 240,4875 0 21
25 17 22,5080 22,5080 0 22
26 17 658,5118 658,5118 0 23
27 3 230,6000 230,6000 0 24
28 4 658,6318 658,6318 0 27
29 3 22,6397 22,6397 0 25
30 1 182,6438 182,6438 0 26
31 1 182,6480 182,6480 0 28
